AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
45,155.0,1.0,25.0,25200.0
2,,,,
33,35.0,1.0,55.0,42300.0
23,30.0,1.0,40.0,25600.0
30,25.0,1.0,40.0,65000.0
32,20.0,1.0,40.0,345700.0
2,,,,
70,5.0,1.0,40.0,59000.0
15,,,,0.0
24,45.0,,35.0,39400.0
13,,,,
50,25.0,1.0,30.0,48200.0
31,,,,0.0
14,,,,
43,45.0,1.0,50.0,35000.0
43,,,20.0,2000.0
32,,,50.0,93000.0
31,15.0,2.0,40.0,40000.0
26,,,40.0,27000.0
67,,,,9300.0
55,40.0,,40.0,98000.0
57,30.0,,30.0,19600.0
22,,,4.0,5300.0
11,,,,
59,,,12.0,5000.0
57,,,,14000.0
64,,,40.0,50000.0
58,30.0,1.0,40.0,75000.0
45,20.0,1.0,40.0,125000.0
36,,,,0.0
4,,,,
1,,,,
24,,,,6100.0
2,,,,
4,,,,
75,,,,8500.0
67,,,,17000.0
61,,,,0.0
27,,,,0.0
10,,,,
52,30.0,1.0,40.0,59360.0
42,20.0,1.0,60.0,235000.0
17,,,,0.0
37,55.0,1.0,20.0,60000.0
1,,,,
9,,,,
79,,,,44290.0
30,20.0,,45.0,125000.0
82,,,,78200.0
44,,,,0.0
32,10.0,1.0,6.0,8000.0
17,15.0,1.0,20.0,12100.0
60,15.0,,40.0,4900.0
29,,,,0.0
72,155.0,1.0,25.0,30000.0
4,,,,
30,5.0,1.0,40.0,41000.0
41,15.0,1.0,40.0,51200.0
78,,,,19460.0
12,,,,
63,,,,0.0
28,4.0,,40.0,24000.0
55,,,40.0,80000.0
6,,,,
17,,,,0.0
89,,,,14200.0
40,,,30.0,1300.0
30,95.0,,40.0,30000.0
3,,,,
57,,,30.0,75000.0
84,,,,4400.0
45,20.0,1.0,40.0,11000.0
1,,,,
47,10.0,1.0,40.0,20000.0
19,,,,0.0
60,10.0,1.0,20.0,21200.0
34,20.0,1.0,40.0,47700.0
32,5.0,1.0,35.0,24000.0
74,,,,55800.0
30,5.0,2.0,60.0,414000.0
14,,,,
41,45.0,1.0,60.0,69000.0
40,5.0,1.0,36.0,95000.0
80,,,,23700.0
43,,,40.0,100000.0
76,,,,16300.0
5,,,,
10,,,,
26,11.0,1.0,40.0,24000.0
64,,,,231900.0
25,20.0,1.0,40.0,38300.0
6,,,,
18,,,35.0,12000.0
16,,,,0.0
62,60.0,1.0,40.0,148900.0
35,10.0,,40.0,27000.0
60,25.0,1.0,40.0,100700.0
62,,,80.0,60000.0
75,,,,43500.0
22,15.0,1.0,20.0,4000.0
77,30.0,1.0,25.0,196700.0
52,4.0,1.0,44.0,95750.0
60,,,,25200.0
44,,,,0.0
6,,,,
67,,,,22100.0
23,,,,0.0
13,,,,
59,20.0,,40.0,163000.0
32,45.0,1.0,40.0,34010.0
67,,,,31300.0
68,,,,36600.0
60,,,,0.0
83,,,,25070.0
40,75.0,1.0,40.0,85000.0
